training_step, return
161,50.0
373,0.0
534,0.0
705,0.0
915,50.0
1123,150.0
1335,0.0
1539,0.0
1772,100.0
2063,100.0
2225,0.0
2389,50.0
2634,0.0
2858,0.0
3059,50.0
3231,50.0
3440,0.0
3656,50.0
3820,0.0
4000,50.0
4152,0.0
4308,0.0
4467,0.0
4668,100.0
4829,0.0
4987,0.0
5191,50.0
5507,150.0
5744,100.0
5906,0.0
6061,0.0
6286,50.0
6484,0.0
6644,0.0
6861,50.0
7001,0.0
7285,0.0
7461,150.0
7644,0.0
7809,0.0
7970,0.0
8191,50.0
8407,50.0
8569,0.0
8772,0.0
9003,150.0
9161,0.0
9317,0.0
9525,50.0
9790,200.0
9948,0.0
10256,300.0
10420,0.0
10648,100.0
10830,0.0
11030,0.0
11200,0.0
11374,0.0
11525,0.0
11702,50.0
11964,50.0
12099,0.0
12262,0.0
12422,0.0
12627,50.0
12788,0.0
13011,0.0
13248,100.0
13454,0.0
13610,0.0
13894,0.0
14071,50.0
14225,0.0
14367,0.0
14539,0.0
14751,50.0
14980,150.0
15200,0.0
15357,0.0
15565,50.0
15741,0.0
15896,0.0
16142,100.0
16364,0.0
16560,0.0
16738,50.0
16919,0.0
17142,100.0
17417,100.0
17627,50.0
17780,50.0
17984,50.0
18138,0.0
18395,150.0
18559,0.0
18782,50.0
18933,0.0
19194,0.0
19396,50.0
19617,50.0
19774,0.0
20020,100.0
20221,50.0
20493,50.0
20712,100.0
20907,100.0
21115,50.0
21286,0.0
21460,0.0
21623,0.0
21802,0.0
22005,50.0
22162,50.0
22379,50.0
22538,0.0
22688,0.0
22858,0.0
23025,0.0
23218,100.0
23408,0.0
23625,0.0
23821,100.0
24086,50.0
24271,0.0
24427,0.0
24623,50.0
24787,0.0
25018,100.0
25239,50.0
25443,0.0
25659,50.0
25881,50.0
26053,0.0
26233,0.0
26396,0.0
26611,50.0
26772,100.0
26990,100.0
27215,50.0
27483,0.0
27739,0.0
27896,0.0
28098,50.0
28337,150.0
28489,0.0
28701,50.0
28983,50.0
29139,0.0
29341,0.0
29575,50.0
29796,50.0
29976,50.0
30177,0.0
30360,0.0
30557,0.0
30778,50.0
30930,0.0
31108,50.0
31290,50.0
31520,150.0
31675,50.0
31893,50.0
32089,0.0
32307,50.0
32483,0.0
32833,100.0
33048,50.0
33223,50.0
33436,50.0
33588,0.0
33755,0.0
33916,0.0
34136,100.0
34308,0.0
34527,50.0
34747,150.0
34967,50.0
35151,0.0
35430,100.0
35613,100.0
35773,0.0
35940,0.0
36186,50.0
36392,0.0
36544,50.0
36701,50.0
36869,50.0
37025,50.0
37247,50.0
37406,50.0
37655,0.0
37825,50.0
37990,100.0
38146,0.0
38364,50.0
38563,0.0
38792,50.0
38962,0.0
39117,0.0
39309,50.0
39536,0.0
39774,50.0
40016,0.0
40172,0.0
40332,0.0
40497,0.0
40802,100.0
40964,0.0
41164,50.0
41366,0.0
41517,0.0
41675,0.0
41874,0.0
42031,0.0
42297,50.0
42474,50.0
42673,100.0
42871,0.0
43079,50.0
43256,150.0
43413,0.0
43589,50.0
43885,50.0
44083,50.0
44257,50.0
44439,50.0
44604,0.0
44782,50.0
44970,0.0
45126,0.0
45286,0.0
45441,0.0
45633,50.0
45805,50.0
45972,50.0
46143,0.0
46308,0.0
